client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
932e6f2ed1e9f51eaf466a25432081443e7983fedc532fa9a9034a8b4deaf52c7fca3021d422c0147fcb06eba64e079e5cb250822bf6fb76b2cffda290027195	common_voice_en_533247.mp3	The burning fire had been extinguished.	3	0	thirties	male	australia	en	
7b04e323badc242a2b0588ef04e816474d23ff64194626273af3e449858c3bca912053a35b089d23bf7ae42f4cbb662c4bfc6f7e360e05f353e7563c23cc95cc	common_voice_en_195627.mp3	The burning fire had been extinguished.	4	0	fourties	female	canada	en	
e3e728505e4deb82e73ce456e12ac21bfdb4c959d305b89f2369670bcc20a2befa583f2144db873788322fa43397671406bb14a410a64935b6c3af9df7b78c62	common_voice_en_19574.mp3	The burning fire had been extinguished.	3	0	thirties	male	african	en	
0ea096fff1209afea4cafb36d476e7e91d789bbee27d6070f68bebbbf1b66c3575ec68f7428e58c54de9e3a6fa6cd8af176a958b6a3936cd6d539489b8d8626b	common_voice_en_12935.mp3	All they think about is food and water.	9	1				en	
0ea096fff1209afea4cafb36d476e7e91d789bbee27d6070f68bebbbf1b66c3575ec68f7428e58c54de9e3a6fa6cd8af176a958b6a3936cd6d539489b8d8626b	common_voice_en_12936.mp3	And one can always come back.	9	2				en	
0ea096fff1209afea4cafb36d476e7e91d789bbee27d6070f68bebbbf1b66c3575ec68f7428e58c54de9e3a6fa6cd8af176a958b6a3936cd6d539489b8d8626b	common_voice_en_12937.mp3	"""I need it to get to the Pyramids,"" he said."	11	3				en	
c03d491a575bc68880d15c1dce5e68e31da591626abd0a6549e32747a428aaae7e7bed6ac2e0638dda78c1d3d036a0d8cfbe93b0b0a868586649397b986a2ff5	common_voice_en_12938.mp3	We lit the lantern and walked over to his house.	7	4	thirties	male		en	
c03d491a575bc68880d15c1dce5e68e31da591626abd0a6549e32747a428aaae7e7bed6ac2e0638dda78c1d3d036a0d8cfbe93b0b0a868586649397b986a2ff5	common_voice_en_12940.mp3	I found a little crowd of about twenty people surrounding the huge hole.	13	0	thirties	male		en	
c03d491a575bc68880d15c1dce5e68e31da591626abd0a6549e32747a428aaae7e7bed6ac2e0638dda78c1d3d036a0d8cfbe93b0b0a868586649397b986a2ff5	common_voice_en_12941.mp3	They looked for the fallen mass, but found nothing.	12	3	thirties	male		en	
c03d491a575bc68880d15c1dce5e68e31da591626abd0a6549e32747a428aaae7e7bed6ac2e0638dda78c1d3d036a0d8cfbe93b0b0a868586649397b986a2ff5	common_voice_en_12942.mp3	Even then he hardly understood what this meant.	7	4	thirties	male		en	
c03d491a575bc68880d15c1dce5e68e31da591626abd0a6549e32747a428aaae7e7bed6ac2e0638dda78c1d3d036a0d8cfbe93b0b0a868586649397b986a2ff5	common_voice_en_12943.mp3	It looked like a rusty gas float.	8	2	thirties	male		en	
8dbcb1c51d255dd78726324913bf98b46d448738c0a8587311966ebe4ec472fec89fb89fbc29262905a504314194230e9460ded8f692a04184b6f5a94d54d39c	common_voice_en_12944.mp3	"Please don't appeal to my Sentimental side."	4	0				en	
0da0e6bd48857492f9c6f1639a9ec15a9021c2525534cec560d930836c70ce5a5ba8128077c9d94cf6b054a85259fbb343f4d37874e6e7d0cde445bc5b105270	common_voice_en_12945.mp3	"All the lawyers in the world aren't going to help you!"	3	1				en	
0da0e6bd48857492f9c6f1639a9ec15a9021c2525534cec560d930836c70ce5a5ba8128077c9d94cf6b054a85259fbb343f4d37874e6e7d0cde445bc5b105270	common_voice_en_12946.mp3	Please take a business card.	4	0				en	
75c016604036b102f0f086ba4e9e878ee6cb93dd222102ec2301ffffadabb8f5d850f45ce0b9c8045a8b0662db42244aedd76cd842b7132e68a2919827e84cdc	common_voice_en_12947.mp3	"""Another dreamer,"" said the ticket seller to his assistant, watching the boy walk away."	7	1				en	
75c016604036b102f0f086ba4e9e878ee6cb93dd222102ec2301ffffadabb8f5d850f45ce0b9c8045a8b0662db42244aedd76cd842b7132e68a2919827e84cdc	common_voice_en_12948.mp3	"""It's the name of the Prophet's daughter,"" Fatima said."	15	0				en	
75c016604036b102f0f086ba4e9e878ee6cb93dd222102ec2301ffffadabb8f5d850f45ce0b9c8045a8b0662db42244aedd76cd842b7132e68a2919827e84cdc	common_voice_en_12949.mp3	He had never imagined that questions about life would be of such importance to a shepherd.	10	1				en	
